Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Incomplete/ Accidental Landline 911 Call
","Genesee Avenue
","2/29/2024
","2402290029
","2/29/2024
","10:04 AM
",,"Logged Event
"
"Medical Aid
","Moores Cancer Center
","2/29/2024
","2402290030
","2/29/2024
","10:08 AM
","Medical transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Welfare Check
","Student Health and Wellness Center
","2/29/2024
","2402290033
","2/29/2024
","10:24 AM
","Mental health evaluation request
","Referred to Other UCSD Department ‐ Triton CORE
"
"Fire Alarm
","Urey Hall
","2/29/2024
","2402290034
","2/29/2024
","10:47 AM
",,"False Alarm
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/29/2024
","2402290035
","2/29/2024
","10:54 AM
",,"Logged Event
"
"Ticket Sign Off
","UCSD Police Department
","2/29/2024
","2402290036
","2/29/2024
","11:10 AM
",,"Service Provided
"
"Incomplete/ Accidental Wireless 911 Call
","Russell Walk/ Lyman Walk
","2/29/2024
","2402290037
","2/29/2024
","11:22 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Pacifica Drive
","2/29/2024
","2402290039
","2/29/2024
","11:46 AM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Genesee Avenue
","2/29/2024
","2402290040
","2/29/2024
","11:57 AM
",,"Logged Event
"
"Welfare Check
","La Jolla Village Drive/ Interstate 5
","2/29/2024
","2402290043
","2/29/2024
","12:53 PM
","Subject standing on bridge ""looking down to the freeway""
","Unfounded
"
"Reckless Driving
","Gilman Drive/ Pepper Canyon Drive
","2/29/2024
","2402290044
","2/29/2024
","1:17 PM
","Speeding car almost hit reporting party's car
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","North Torrey Pines Road
","2/29/2024
","2402290047
","2/29/2024
","2:37 PM
",,"Logged Event
"
"Security Alarm
","Student Services Center
","2/29/2024
","2402290052
","2/29/2024
","3:37 PM
",,"False Alarm
"
"Medical Aid
","Trolley ‐ La Jolla Health Station
","2/29/2024
","2402290053
","2/29/2024
","3:43 PM
","Subject unable to walk
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Wireless 911 Call
","Russell Walk/ Lyman Walk
","2/29/2024
","2402290055
","2/29/2024
","3:47 PM
",,"Logged Event
"
"Ticket Sign Off
","UCSD Police Department
","2/29/2024
","2402290056
","2/29/2024
","3:47 PM
",,"Service Provided
"
"Brandishing Weapon
","Poole Street
","2/29/2024
","2402290059
","2/29/2024
","3:55 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/ Accidental Wireless 911 Call
","Russell Lane
","2/29/2024
","2402290061
","2/29/2024
","4:18 PM
",,"Logged Event
"
"Welfare Check
","E. 4th Avenue, Escondido, CA
","2/29/2024
","2402290063
","2/29/2024
","5:01 PM
","UCSD Psychiatry group requesting welfare check on patient
","Referred to Other Agency ‐ Escondido Police Department
"
"Missing Vehicle
","Scholars Drive North/North Point Lane
","2/29/2024
","2402290064
","2/29/2024
","5:03 PM
",,"Unfounded
"
"Minor Injury Collision
","Interstate 5/ Balboa Avenue
","2/29/2024
","2402290067
","2/29/2024
","6:54 PM
",,"Referred to Other Agency ‐ California Highway Patrol
"
"Security Alarm
","Price Center East ‐ University Credit Union
","2/29/2024
","2402290068
","2/29/2024
","6:58 PM
",,"False Alarm
"
"Petty Theft ‐ Micro Mobility Device
","Wells Fargo Hall
","2/29/2024
","2024‐0461
","2/29/2024
","12:20 ‐ 4:40 PM
","Secured electric scooter stolen, loss $500.00
","Online Report
"
"Incomplete/ Accidental Wireless 911 Call
","Marshall Upper Apartments
","2/29/2024
","2402290069
","2/29/2024
","7:37 PM
",,"Logged Event
"
"Disturbance ‐ Argument
","Porton
","2/29/2024
","2402290070
","2/29/2024
","7:39 PM
","Reporting party can hear female yelling, possibly having an argument
","Checks OK
"
"Disturbance
","Torrey Pines Gliderport
","2/29/2024
","2402290072
","2/29/2024
","9:32 PM
","Two males heard yelling at each other
","Referred to Other Agency ‐ San Diego Police Department
"
"Hazard Situation
","Applied Physics & Mathematics
","2/29/2024
","2402290073
","2/29/2024
","9:33 PM
","Male climbing up outside of building
","Checks OK
"
"Disturbance
","Salk Institute
","2/29/2024
","2402290074
","2/29/2024
","9:34 PM
","Via 911 call; open line, muffled talking heard
","Referred to Other Agency ‐ San Diego Police Department
"
"Nosie Disturbance
","Europe Hall
","2/29/2024
","2402290075
","2/29/2024
","10:03 PM
","Loud music and heavy items being dropped
","Referred to Student Conduct
"
"Noise Disturbance
","Brown Hall
","2/29/2024
","2402290078
","2/29/2024
","10:19 PM
","Loud yelling and music at basketball courts
","Referred to Student Conduct
"
"Citizen Assist
","Revelle College Drive
","2/29/2024
","2402290079
","2/29/2024
","10:20 PM
","Caller's vehicle parked inside locked construction site
","Checks OK
"
"Noise Disturbance
","Astilla
","2/29/2024
","2402290081
","2/29/2024
","10:31 PM
","Loud group
","Unable to Locate
"
"Citizen Contact
","Cala
","2/29/2024
","2402290081
","2/29/2024
","10:31 PM
","Two persons contacted for being in pool after hours
","Referred to Student Conduct
"
"Medical Aid
","Nobel Drive
","2/29/2024
","2402290084
","2/29/2024
","11:27 PM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Noise Disturbance
","Kaleidoscope
","2/29/2024
","2402290085
","2/29/2024
","11:51 PM
","Loud group on basketball court
","Will Cooperate
"
"Suspicious Person
","University Center
","3/18/2024
","2403180001
","3/18/2024
","12:16 AM
",,"Unable to Locate
"
"Noise Disturbance
","Charles David Keeling Apartments 1
","3/18/2024
","2403180004
","3/18/2024
","1:13 AM
","Loud voices, talking and music
","Will Cooperate
"
"Noise Disturbance
","Seventh College West #5
","3/18/2024
","2403180014
","3/18/2024
","4:46 AM
","Yelling and loud music
","Will Cooperate
"
"Medical Aid
","Discovery Hall
","3/18/2024
","2403180018
","3/18/2024
","5:46 AM
","Young adult female experiencing chest and arm pain
","Referred to Other Agency - San Diego Fire Department
"
"Burglary
","Coast Apartments
","3/18/2024
","2024-0579
","3/15/2024 - 3/17/2024
","2:00 PM - 9:00 AM
","Unknown suspect(s) forced entry into storage and stole tools, loss $30.00
","Report Taken
"
"Hazard Situation
","Thornton Pavilion
","3/18/2024
","2403180024
","3/18/2024
","7:15 AM
","Syringe found on picnic table
","Referred to Other UCSD Department - Environmental, Health and Safety
"
"Unknown Injury Collision
","Interstate 5 Southbound/Genesee Avenue
","3/18/2024
","2403180026
","3/18/2024
","9:14 AM
",,"Referred to Other Agency - California Highway Patrol
"
"Disturbance
","Genesee Avenue
","3/18/2024
","2403180030
","3/18/2024
","9:57 AM
","Via 911; report of aggressive passenger
","Referred to Other Agency - San Diego Police Department
"
"Security Alarm
","Tdlln - Podemos
","3/18/2024
","2403180031
","3/18/2024
","10:11 AM
",,"False Alarm
"
"Suspicious Circumstances
","Jacobs Medical Center
","3/18/2024
","2024-0581
","3/18/2024
","11:20 AM
","Non-affiliate male transported off campus after being detained by hospital security for possibly
","Stay Away Order Issued
"
"Welfare Check
","Tuolumne Apartments
","3/18/2024
","2403180036
","3/18/2024
","12:36 PM
","Request for Triton Core, student in distress, hasn't been able to sleep
","Referred to Other UCSD Department - Triton Core
"
"Incomplete/ Accidental Landline 911 Call
","Shiley Eye Institute
","3/18/2024
","2403180039
","3/18/2024
","1:21 PM
",,"Logged Event
"
"Incomplete/ Accidental Wireless 911 Call
","Torrey Pines Scenic Drive
","3/18/2024
","2403180040
","3/18/2024
","1:21 PM
",,"Logged Event
"
"Injury
","Preuss School
","3/18/2024
","2403180042
","3/18/2024
","1:50 PM
","Juvenile female accidentally ingested broken glass, having sharp abdominal pains
","Referred to Other Agency - San Diego Fire Department
"
"Injury
","Charles David Keeling Apartments 1
","3/18/2024
","2024-0582
","3/18/2024
","2:00 PM
","Adult male tripped and fell, dislocted shoulder
","Referred to Other Agency - San Diego Fire Department
"
"Rape
","UCSD Residential Area
","3/18/2024
","2024-0583
","3/18/2024
","06:00 AM - 9:00 AM
","Suspect had sex with victim while the victim was under the influence of an intoxicating
","Report Taken
"
"Incomplete/ Accidental Landline 911 Call
","Brisa
","3/18/2024
","2403180045
","3/18/2024
","4:12 PM
","Accidental push on elevator
","Logged Event
"
"Welfare Check
","Brisa
","3/18/2024
","2403180046
","3/18/2024
","4:17 PM
","Reporting party hasn't heard from student in over a month, message notifications silenced and
","Checks OK
"
"Pretty Theft - Micro Mobility Device
","RIMAC - Liontree Arena
","3/18/2024
","2024-0584
","3/18/2024
","2:30 PM - 4:50 PM
","Secured electric scooter stolen, loss $600.00
","Online Report
"
"Petty Theft
","Mesa Apartments Central
","3/18/2024
","2024-0585
","3/16/2024
","8:00 AM - 8:15 AM
","Secured bicycle stolen, loss $599.00
","Online Report
"
"Incomplete/ Accidental Wireless 911 Call
","Design and Innovation Building
","3/18/2024
","2403180050
","3/18/2024
","6:20 PM
",,"Logged Event
"
"Security Alarm
","Price Center East - Sunshine Market
","3/18/2024
","2403180051
","3/18/2024
","6:22 PM
",,"False Alarm
"
"Petty Theft
","Mesa Apartments Central
","3/18/2024
","2024-0586
","3/16/2024 - 6/17/2024
","6:45 PM - 6:45 PM
","Secured bicycle stolen, loss $200.00
","Online Report
"
"Illegal Dumping
","Brown Hall
","3/18/2024
","2403180052
","3/18/2024
","7:36 PM
","Two subjects dumped a couch in the canyon
","Will Cooperate
"
"Noise Disturbance
","Charles David Keeling Apartments
","3/18/2024
","2403180053
","3/18/2024
","8:05 PM
","Loud group talking and laughing
","Quiet On Arrival
"
"Incomplete/ Accidental Landline 911 Call
","Kaleidoscope
","3/18/2024
","2403180054
","3/18/2024
","8:46 PM
",,"Logged Event
"
"Patient Disturbanct
","UCSD Medical Center - Hillcrest
","3/18/2024
","HC24-03-17-0258
","3/17/2024
","2:56 PM
","Psych patient was being verbally abusive and making criminal threats towards staff
","Information Only
"
"Disturbance ‐ Party
","TDLLN ‐ Sankofa
","2/10/2024
","240210001
","2/10/2024
","12:00 AM
","Group having party on unoccupied floor, alcohol involved
","Referred to Student Conduct
"
"Disturbance
","Charles David Keeling Apartments 1
","2/10/2024
","2402100002
","2/10/2024
","12:11 AM
","Noise coming from above apartment, sounds like fighting or someone falling
","Referred to Student Conduct
"
"Noise Disturbance
","Artesa
","2/10/2024
","240210005
","2/10/2024
","12:18 AM
","Loud laughing
","Referred to Student Conduct
"
"UC Policy Violation
","Seventh College East #4
","2/10/2024
","240210008
","2/10/2024
","12:46 AM
","Smoking contact
","Referred to Student Conduct
"
"Illegal Parking
","Pharmacy Lane
","2/10/2024
","2402100009
","2/10/2024
","12:58 AM
",,"Service Provided
"
"Disorderly Conduct: Public Intoxication
","Center Hall
","2/10/2024
","2024‐0306
","2/10/2024
","1:21 AM
","Young adult male under influence of intoxicating liquor and unable to care for self or others
","Detention Only
"
"Noise Disturbance
","Seventh College East #1
","2/10/2024
","2402100013
","2/10/2024
","1:30 AM
","Loud yelling and talking
","Referred to Student Conduct
"
"Noise Disturbance
","Justice Lane
","2/10/2024
","2402100014
","2/10/2024
","1:57 AM
","Vehicle playing loud music
","Unable to Locate
"
"Incomplete/Accidental Landline 911 Call
","Brisa
","2/10/2024
","2402100017
","2/10/2024
","3:26 AM
",,"Logged Event
"
"Citizen Flag down
","Pepper Canyon Drive
","2/10/2024
","2402100018
","2/10/2024
","4:54 AM
",,"Service Provided
"
"Report of Death
","Hillside Drive
","2/10/2024
","2402100023
","2/10/2024
","8:36 AM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Fire Alarm
","Capa
","2/10/2024
","2402100025
","2/10/2024
","9:21 AM
",,"False Alarm
"
"Incomplete/Accidental Wireless 911 Call
","UC San Diego
","2/10/2024
","2402100026
","2/10/2024
","9:33 AM
",,"Logged Event
"
"Unknown Injury Collision
","Pepper Canyon Drive
","2/10/2024
","2402100029
","2/10/2024
","10:06 AM
",,"Service Provided
"
"Disorderly Conduct: Public Intoxication/ Outside Agency Arrest Warrant
","Regents Road/Miramar Street
","2/10/2024
","2024‐0307
","2/10/2024
","10:58 AM
","Original call for subject laying on the sidewalk
","Report Taken
"
"Injury
","Warren Field
","2/10/2024
","2024‐0308
","2/10/2024
","12:56 PM
","Adult male complaining of pain in ankle; soccer related injury
","Transported to Hospital
"
"Disturbance
","Mandeville Lane
","2/10/2024
","2402100039
","2/10/2024
","1:05 PM
","Verbal argument, open line, subject heard saying ""get off bus…someone call police""
","Service Provided
"
"Grand Theft ‐ Micro Mobility Device
","One Miramar Street, Building 3
","2/10/2024
","2024‐0309
","2/10/2024
","10:00 AM ‐ 2:00 PM
","Victim left apartment door propped open while doing laundry and returned to find electric
","Report Taken
"
"Found Property
","Chevron
","2/10/2024
","2402100045
","2/10/2024
","3:12 PM
","Wallet belonging to student
","Service Provided
"
"Hit and Run Collision‐ No Injuries
","Parking Lot P206
","2/10/2024
","2024‐0310
","2/10/2024
","12:00pm‐3:32pm
",,"Report Taken
"
"Welfare Check
","Price Center West ‐ The Trove
","2/10/2024
","2402100050
","2/10/2024
","4:11 PM
","North side of location, unknown subject sitting on the floor, yelling nonsensical statements
","Field Interview
"
"Marijuana Contact
","Marea
","2/10/2024
","2402100052
","2/10/2024
","5:49 PM
","Odor of marijuana coming from unit above
","Referred to Student Conduct
"
"Missing Vehicle
","South Parking Structure
","2/10/2024
","2402100074
","2/10/2024
","10:21 PM
","Reporting party unable to locate vehicle, unsure if looking in correct garage
","Service Provided
"
"Incomplete/Accidental Wireless 911 Call
","Torrey Pines Scenic Drive
","2/10/2024
","2402100077
","2/10/2024
","10:49 PM
",,"Logged Event
"
"Battery ‐ Inappropriate Touching
","UCSD Medical Center ‐ East Campus
","2/10/2024
","HC24‐02‐09‐0125
","2/9/2024
","5:30 PM
","Patient grabbed groin area of nurse
","Information Only
"
"Attempted Assault
","UCSD Medical Center ‐ Hillcrest
","2/10/2024
","HC24‐02‐09‐0127
","2/9/2024
","7:30 PM
","Patient threw IV pole at nurse
","Information Only
"
"Suspicious Person
","Thurgood Marshall Res Hall V
","3/9/2024
","2403090002
","3/9/2024
","1:08 AM
",,"Gone on Arrival
"
"Security Alarm
","Otterson Hall
","3/9/2024
","2403090005
","3/9/2024
","1:21 AM
",,"False Alarm
"
"Medical Aid
","Thurgood Marshall Res Hall V
","3/9/2024
","2403090017
","3/9/2024
","3:52 AM
","Young adult male complaining of stomach pain
","Checks OK
"
"Disturbance ‐ Party
","North America Hall
","3/9/2024
","2403090018
","3/9/2024
","4:19 AM
","Loud party in common area of suite
","Referred to Student Conduct
"
"Indecent Exposure
","Parking Lot P401
","3/9/2024
","2403090019
","3/9/2024
","4:36 AM
","Male seen urinating in public
","Unable to Locate
"
"Security Alarm
","Otterson Hall
","3/9/2024
","2403090020
","3/9/2024
","5:28 AM
",,"Checks OK
"
"Security Alarm
","Otterson Hall
","3/9/2024
","2403090024
","3/9/2024
","7:17 AM
",,"Checks OK
"
"Reckless Driving
","Genesee Avenue/ Interstate 5 Southbound
","3/9/2024
","2403090026
","3/9/2024
","8:00 AM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Security Alarm
","Wells Fargo Hall
","3/9/2024
","2403090027
","3/9/2024
","8:33 AM
",,"Checks OK
"
"Security Alarm
","Student Health & Wellness Center
","3/9/2024
","2403090028
","3/9/2024
","9:00 AM
",,"False Alarm
"
"Welfare Check
","Visual Arts Facility ‐ Building 1
","3/9/2024
","2403090030
","3/9/2024
","10:50 AM
","Report of male in green scrubs with a wristband, possible psych patient
","Checks OK
"
"Petty Theft ‐ Micro Mobility Device
","Pines Restaurant
","3/9/2024
","2024‐0515
","3/8/2024 ‐ 3/9/2024
","11:27 AM
","Secured electric scooter stolen, loss $370.00
","Report Taken
"
"Welfare Check
","Villa La Jolla Drive
","3/9/2024
","2403090034
","3/9/2024
","1:08 PM
","Adult male laying near sidewalk
","Referred to Other Agency ‐ San Diego Fire Department
"
"Stolen Vehicle
","Ola Parking
","3/9/2024
","2024‐0516
","3/8/2024 ‐ 3/9/2024
","9:05 PM ‐ 1:00 PM
","Unknown suspect(s) took victim's motorcycle by unknown means, without owner's consent
","Report Taken
"
"Fire Alarm
","Cala
","3/9/2024
","2403090038
","3/9/2024
","2:41 PM
",,"False Alarm
"
"Fire Alarm
","Kaleidoscope
","3/9/2024
","2403090041
","3/9/2024
","3:40 PM
",,"Cancelled
"
"Welfare Check
","Thurgood Marshall Res Hall O
","3/9/2024
","2403090043
","3/9/2024
","5:12 PM
","Reporting party states their friend has not gone to class all week, hasn't left residence
","Checks OK
"
"Welfare Check
","Epstein Family Amphitheater
","3/9/2024
","2403090044
","3/9/2024
","5:34 PM
","Older adult male wandering around, pushing a trash can and making non‐sensical statements
","Service Provided
"
"Quiet Hours Contact
","Kaleidoscope ‐ Basketball Courts
","3/15/2024
","2403150001
","3/15/2024
","12:05 AM
",,"Will Cooperate
"
"Noise Disturbance
","Charles David Keeling Apartments 1
","3/15/2024
","2403150003
","3/15/2024
","12:12 AM
","Loud group outside of building near courtyard
","Referred to Student Conduct
"
"Noise Disturbance
","Tuolumne Apartments
","3/15/2024
","2403150007
","3/15/2024
","12:39 AM
","Loud talking in kitchen area
","Referred to Student Conduct
"
"Incomplete/Accidental Landline 911 Call
","Design & Innovation Building
","3/15/2024
","2403150009
","3/15/2024
","12:46 AM
",,"Logged Event
"
"Tamper with Vehicle/ Possess Burglary Tools/ University Curfew Violation
","Price Center West ‐ The Trove
","3/15/2024
","2024‐0558
","3/15/2024
","12:48 AM
","Non‐affiliate male contacted after a report of a possible bike caser
","Closed By Citation, Adult
"
"Illegal Parking
","Parking Lot P203
","3/15/2024
","2403150011
","3/15/2024
","1:14 AM
",,"Checks OK
"
"Marijuana Contact
","Mesa Verde Hall
","3/15/2024
","2403150015
","3/15/2024
","1:38 AM
","Complaint for odor of marijuana and alcohol use coming from apartment
","Gone On Arrival
"
"Incomplete/Accidental Wireless 911 Call
","Pepper Canyon Drive
","3/15/2024
","2403150023
","3/15/2024
","7:11 AM
",,"Logged Event
"
"Grand Theft
","Israni Biomedical Research Facility
","3/15/2024
","2024‐0559
","3/14/2024
","9:00 AM ‐ 5:00 PM
","Secured bicycle stolen, loss $1,000.00
","Report Taken
"
"Suspicious Vehicle
","One Miramar Parking Structure
","3/15/2024
","2024‐0560
","3/15/2024
","10:25 AM
","Officer located a non‐plated motorcycle with ""shaved"" off vin parked in a non‐designated
","Vehicle Impound
"
"Suspicious Vehicle
","Parking Lot P357
","3/15/2024
","2024‐0561
","3/15/2024
","10:47 AM
","Per parking, parked vehicle with no license plates and vice intentionally covered by multiple
","Vehicle Impound
"
"Drunk in Public
","Preuss School ‐ Building F
","3/15/2024
","2403150037
","3/15/2024
","12:06 PM
","Per Vice Principal, received 2nd hand report of an intoxicated male juvenile
","Referred to Other UCSD Department ‐ Preuss School
"
"Incomplete/Accidental Landline 911 Call
","Sheraton La Jolla Hotel
","3/15/2024
","2403150038
","3/15/2024
","12:15 PM
",,"Logged Event
"
"Fire Alarm
","Cala
","3/15/2024
","2403150039
","3/15/2024
","1:07 PM
",,"False Alarm
"
"Mental Health Detention
","The Campus at 8950 Villa la Jolla Drive
","3/15/2024
","2024‐0562
","3/15/2024
","2:03 PM
","Female student admitted to cutting self and having suicidal ideations
","Transported to Hospital
"
"Incomplete/Accidental Wireless 911 Call
","Scholars Drive South
","3/15/2024
","2403150043
","3/15/2024
","1:59 PM
",,"Logged Event
"
"Unknown Injury Collision
","La Jolla Village Square/Nobel Drive
","3/15/2024
","2403150045
","3/15/2024
","2:18 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Vin Verification
","UCSD Police Department
","3/15/2024
","2403150046
","3/15/2024
","2:26 PM
",,"Service Provided
"
"Incomplete/Accidental Landline 911 Call
","Scholars Parking
","3/15/2024
","2403150047
","3/15/2024
","4:01 PM
",,"Logged Event
"
"Citizen Assist
","UC San Diego
","3/15/2024
","2403150050
","3/15/2024
","4:20 PM
","Caller advising they are assisting female who lost her vehicle, not requesting assistance,
","Information Only
"
"Found Property
","Boston Avenue
","3/15/2024
","2403150051
","3/15/2024
","5:20 PM
","UCSD key card and drivers license found
","Service Provided
"
"Medical Aid
","Thornton Pavilion
","3/15/2024
","2403150053
","3/15/2024
","6:01 PM
",,"Cancelled
"
"Threaten Crime with Intent to Terrorize
","Geisel Library
","3/15/2024
","2024‐0563
","3/15/2024
","6:08 PM
","Non‐affiliate male made statement of possibly being in possession of gun when asked to leave
","Report Taken
"
"Welfare Check
","Housing, Dining & Hospitality Services
","3/15/2024
","2403150056
","3/15/2024
","6:40 PM
","Adult female dressed in all black and talking to self, blocking sidewalk with pull cart
","Checks OK
"
"Medical Aid
","Tenaya Hall
","3/15/2024
","2403150061
","3/15/2024
","7:50 PM
","Housing Assistant received call from unknown female saying they were having a seizure before
","Transported to Hospital
"
"Vehicle Disturbance
","Regents Road
","3/15/2024
","2403150071
","3/15/2024
","8:58 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Incomplete/Accidental Wireless 911 Call
","Regents Road
","3/15/2024
","2403150073
","3/15/2024
","9:04 PM
",,"Logged Event
"
"Suspicious Vehicle
","Design & Innovation Building
","3/15/2024
","2403150074
","3/15/2024
","9:12 PM
","School bus between location and SME Building, unknown if occupied
","Checks OK
"
"Fire Alarm
","Mosaic
","3/15/2024
","2403150079
","3/15/2024
","9:42 PM
","No smoke or fire seen
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Security Alarm
","Leichtag Family Foundation Biomedical Research
","3/15/2024
","2403150081
","3/15/2024
","10:02 PM
",,"Checks OK
"
"Found Property
","Campus Curbside Pickup ‐ Gilman Parking Structure
","3/15/2024
","2403150083
","3/15/2024
","10:18 PM
","Necklace
","Information Only
"
"Vandalism
","Mandeville Center
","3/15/2024
","2024‐0564
","3/15/2024
","10:24 PM
","Graffiti on wall inside handicap bathroom stall, cost of damage $150.00
","Report Taken
"
"Suspicious Person
","Tamarack Apartments
","3/15/2024
","2403150085
","3/15/2024
","10:35 PM
",,"Gone On Arrival
"
"Noise Disturbance
","Marea
","3/15/2024
","2403150087
","3/15/2024
","10:48 PM
",,"Referred to Student Conduct
"
"UC Policy Violation
","Robert Paine Scripps Forum
","3/15/2024
","2403150088
","3/15/2024
","10:55 PM
","Bond fire
","Checks OK
"
"Camping on Campus
","Parking Lot P386
","3/15/2024
","2024‐0565
","3/15/2024
","11:00 PM
","Non‐affiliate male sleeping inside vehicle
","Checks OK
"
"Weapons Law and Drug Violation Arrest
","Kaleidoscope
","2/24/2024
","2024‐0405
","2/24/2024
","12:11AM‐12:45AM
","Non‐affiliate male contacted after being reported for trespassing inside 3rd floor elevator lobby
","Closed By Adult Arrest
"
"Alcohol Contact
","Kaleidoscope
","2/24/2024
","2402240005
","2/24/2024
","12:46 AM
",,"Referred to Student Conduct
"
"Noise Disturbance
","Argo Hall
","2/24/2024
","2402240011
","2/24/2024
","2:22 AM
","Loud screaming heard for the past 20‐30 minutes
","Referred to Student Conduct
"
"Suspicious Person
","Gilman Drive/Pepper Canyon Drive
","2/24/2024
","2402240013
","2/24/2024
","3:17 AM
",,"Checks OK
"
"Suspicious Person
","East Campus Office Building
","2/24/2024
","2402240014
","2/24/2024
","3:23 AM
","Officer initiated; non‐affiliate on campus during curfew hours
","Closed By Citation, Adult
"
"Preserve the Peace
","Matthews Apartments C
","2/24/2024
","2402240015
","2/24/2024
","3:34 AM
","Roommate took keys and refuses to give them back
","Checks OK
"
"Discharging a Firearm
","Parking Lot P002
","2/24/2024
","2024‐0407
","2/24/2024
","4:01AM‐6:27AM
","Unknown suspect discharged 11 rounds from an unknown firearm in parking lot
","Report Taken
"
"Attempt to Contact
","Mesa Verde Hall
","2/24/2024
","2402240018
","2/24/2024
","5:51 AM
","Caller requesting a welfare check on her daughter
","Checks OK
"
"Suspicious Person
","Matthews Apartments
","2/24/2024
","2402240020
","2/24/2024
","7:47 AM
","Unknown subject has been banging on reporting party's door for the past 10 minutes
","Service Provided
"
"Suspicious Person
","Halicioglu Data Science Institute
","2/24/2024
","2402240021
","2/24/2024
","8:44 AM
","Unhoused male wandering inside building
","Unable to Locate
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines Road
","2/24/2024
","2402240022
","2/24/2024
","9:36 AM
",,"Logged Event
"
"Non Injury Collision
","Parking Lot P703
","2/24/2024
","2024‐0408
","2/24/2024
","10:35AM‐10:45AM
","UC Regents vs UC Property
","Report Taken
"
"Medical Aid
","Shiley Eye Institute
","2/24/2024
","2402240025
","2/24/2024
","10:57 AM
","Patient passed out
","Referred to Other Agency ‐ San Diego Fire Department
"
"Suspicious Circumstance
","Israni Biomedical Research Facility
","2/24/2024
","2024‐0409
","2/22/2024
","11:39 AM
","Unknown subject sent email to faculty member, stating they have ideations of mass killing
","Report Taken
"
"Incomplete/Accidental Landline 911 Call
","UC San Diego
","2/24/2024
","2402240037
","2/24/2024
","4:20 PM
",,"Logged Event
"
"Medical Aid
","Blacks Beach
","2/24/2024
","2402240038
","2/24/2024
","4:29 PM
","Male stung by stingray, bleeding
","Service Provided
"
"Hit and Run Collision ‐ Property Damage
","Campus Point Parking ‐ West
","2/24/2024
","2024‐0410
","2/23/2024 ‐ 2/24/2024
","11:00 PM ‐ 3:52 PM
",,"Report Taken
"
"Incomplete/Accidental Landline 911 Call
","Kaleidoscope
","2/24/2024
","2402240044
","2/24/2024
","6:47 PM
",,"Logged Event
"
"Petty Theft
","Trolley ‐ Central Campus Station
","2/24/2024
","2402240045
","2/24/2024
","7:19 PM
","Possible scooter theft in progress
","Gone on Arrival
"
"Incomplete/Accidental Landline 911 Call
","South Parking Structure
","2/24/2024
","2402240046
","2/24/2024
","7:20 PM
",,"Logged Event
"
"Suspicious Person
","Matthews Lane
","2/24/2024
","2402240050
","2/24/2024
","8:50 PM
",,"Field Interview
"
"Petty Theft ‐ Micro Mobility Device
","Trolley ‐ Central Campus Station
","2/24/2024
","2024‐0411
","2/24/2024
","8:46PM‐8:51PM
","Secured electric scooter stolen, loss $260.00
","Report Taken
"
"Disturbance ‐ Party
","Seventh College ‐ West
","2/24/2024
","2402240054
","2/24/2024
","10:28 PM
",,"Referred to Student Conduct
"
"UC Policy Violation
","Matthews Apartments B
","2/24/2024
","2402240057
","2/24/2024
","11:04 PM
","Smoking contact
","Referred to Student Conduct
"
"Noise Disturbance
","Piedra
","2/24/2024
","2402240061
","2/24/2024
","11:52 PM
",,"Referred to Student Conduct
"
"Marijuana Contact
","International Lane
","2/24/2024
","2402240062
","2/24/2024
","11:54 PM
","Strong odor of marijuana
","Unable to Locate
"
"Aggravated Assault
","UCSD Medical Center ‐ Hillcrest
","2/24/2024
","HC24‐02‐23‐0183
","2/23/2024
","3:35 PM
","Patient spat of face of security agency and kicked in rib area possibly causing fracture
","Referred to Other Agency ‐ San Diego Police Department
"
"Fire Alarm
","UCSD Medical Center ‐ Hillcrest
","2/24/2024
","HC24‐02‐23‐0182
","2/23/2024
","3:07 PM
","Burnt food inside cafeteria microwave
","Checks OK
"
"Disturbance
","Costa Verde Blvd
","3/4/2024
","2403040001
","3/4/2024
","12:05 AM
","Reporting party feeling harassed by security
","Referred to Other Agency ‐ San Diego Police Department
"
"Citizen Contact
","Mandeville Center
","3/4/2024
","2403040001
","3/4/2024
","3:19 AM
","Non‐affiliate wanting to use UCSD facilities to study
","Field Interview
"
"Noise Disturbance
","Porton on Miramar
","3/4/2024
","2403040015
","3/4/2024
","3:37 AM
","Reporting party can hear large moving bins rolling on ground
","Unable to Locate
"
"Fire Alarm
","Shiley Eye Institute
","3/4/2024
","2403040018
","3/4/2024
","4:30 AM
",,"Referred to Other Department ‐ UCSD
"
